Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
India,2020.0,SQL Injection,Telecommunications,87.44,731625.0,Nation-state,Zero-day,Antivirus,33.0
France,2020.0,Ransomware,Education,47.32,848222.0,Insider,Unpatched Software,VPN,16.0
India,,Man-in-the-Middle,Telecommunications,32.4,437554.0,Insider,Weak Passwords,Firewall,19.0
India,2023.0,Phishing,Retail,53.07,589348.0,Hacker Group,Social Engineering,Antivirus,4.0
Brazil,2024.0,Ransomware,Retail,68.95,322146.0,Hacker Group,Social Engineering,Encryption,70.0
India,2020.0,SQL Injection,Government,42.81,432917.0,Hacker Group,Unpatched Software,AI-based Detection,53.0
UK,2022.0,DDoS,IT,53.91,64163.0,Unknown,Weak Passwords,AI-based Detection,7.0
France,2021.0,Phishing,Retail,45.67,95873.0,Unknown,Unpatched Software,Antivirus,50.0
Germany,2020.0,SQL Injection,Healthcare,62.61,205015.0,Nation-state,Unpatched Software,AI-based Detection,57.0
Germany,2020.0,SQL Injection,Telecommunications,27.52,488501.0,Nation-state,Social Engineering,Encryption,47.0
USA,2020.0,Ransomware,Retail,16.33,850758.0,Insider,Unpatched Software,Firewall,9.0
Brazil,2019.0,SQL Injection,Healthcare,67.42,703282.0,Insider,Weak Passwords,Encryption,2.0
,2015.0,SQL Injection,Government,87.71,1579.0,Unknown,Unpatched Software,Antivirus,55.0
Germany,2023.0,DDoS,IT,93.72,828721.0,Insider,Weak Passwords,Encryption,21.0
Germany,2017.0,Malware,Government,67.79,239402.0,Hacker Group,Zero-day,VPN,17.0
Russia,2024.0,DDoS,Education,54.4,891298.0,,Social Engineering,AI-based Detection,60.0
,2024.0,Man-in-the-Middle,Education,86.52,915463.0,Insider,Weak Passwords,Antivirus,2.0
India,2018.0,Malware,Education,99.09,395264.0,Unknown,Weak Passwords,Antivirus,5.0
China,2015.0,Man-in-the-Middle,Healthcare,66.13,946668.0,Hacker Group,,Encryption,67.0
USA,2023.0,Malware,IT,52.54,201017.0,Insider,Unpatched Software,Encryption,17.0
Germany,2022.0,SQL Injection,IT,48.0,876383.0,Insider,Zero-day,Encryption,72.0
Australia,2022.0,Ransomware,Government,10.84,564944.0,Insider,Social Engineering,Antivirus,58.0
Russia,2023.0,Malware,IT,6.35,259573.0,Nation-state,Zero-day,Firewall,68.0
Japan,2020.0,DDoS,Education,99.83,10859.0,Nation-state,Social Engineering,AI-based Detection,66.0
Russia,2020.0,DDoS,Government,41.45,496378.0,Insider,Unpatched Software,AI-based Detection,42.0
UK,2019.0,Man-in-the-Middle,Education,29.92,937987.0,Hacker Group,Weak Passwords,VPN,45.0
India,2023.0,Ransomware,Education,9.32,182887.0,Hacker Group,,Firewall,51.0
France,2017.0,Man-in-the-Middle,Healthcare,34.43,927694.0,Insider,Social Engineering,VPN,43.0
Brazil,2021.0,Man-in-the-Middle,Banking,81.68,893986.0,Insider,Unpatched Software,Firewall,47.0
USA,2018.0,Phishing,Retail,36.85,852789.0,Hacker Group,Social Engineering,VPN,4.0
Brazil,2024.0,Man-in-the-Middle,Healthcare,26.92,695427.0,Nation-state,Zero-day,Encryption,28.0
India,2019.0,DDoS,Banking,35.31,961173.0,Insider,Social Engineering,VPN,37.0
China,2018.0,Man-in-the-Middle,Healthcare,11.74,430760.0,Nation-state,Unpatched Software,Firewall,63.0
Germany,2016.0,Ransomware,Telecommunications,93.93,198764.0,Insider,Zero-day,Encryption,40.0
Brazil,2021.0,Malware,Banking,34.68,786462.0,Unknown,,Firewall,17.0
India,2020.0,Malware,IT,84.43,999542.0,Hacker Group,Social Engineering,Encryption,15.0
Australia,2022.0,Malware,Government,24.6,221315.0,Nation-state,Unpatched Software,VPN,53.0
Brazil,2018.0,SQL Injection,Education,52.7,861075.0,Hacker Group,Social Engineering,Encryption,7.0
Japan,2022.0,,Telecommunications,33.54,55209.0,Nation-state,Unpatched Software,VPN,11.0
India,2018.0,Phishing,Education,43.54,76479.0,,Zero-day,Firewall,
Japan,2016.0,SQL Injection,Telecommunications,37.17,728731.0,Unknown,Weak Passwords,VPN,72.0
Japan,2017.0,SQL Injection,Education,36.37,161579.0,Nation-state,Zero-day,Firewall,15.0
Germany,2019.0,SQL Injection,Government,56.53,362642.0,Unknown,Social Engineering,Encryption,19.0
Brazil,2017.0,DDoS,Education,29.76,913276.0,Insider,Social Engineering,Encryption,57.0
Brazil,2019.0,Phishing,Government,70.6,817268.0,Nation-state,Zero-day,VPN,1.0
UK,2021.0,SQL Injection,IT,80.05,682480.0,Hacker Group,Zero-day,AI-based Detection,14.0
USA,2024.0,DDoS,Telecommunications,15.53,,Hacker Group,Unpatched Software,AI-based Detection,11.0
China,2020.0,DDoS,Healthcare,,682445.0,Nation-state,Social Engineering,Firewall,20.0
,2021.0,,Government,18.26,78277.0,Hacker Group,Weak Passwords,Firewall,51.0
India,2023.0,Man-in-the-Middle,IT,90.85,985267.0,Hacker Group,Unpatched Software,Firewall,48.0
Japan,2016.0,Man-in-the-Middle,Healthcare,2.59,603982.0,Hacker Group,Social Engineering,Firewall,18.0
Japan,2021.0,DDoS,Banking,74.26,81354.0,Insider,Weak Passwords,Firewall,6.0
France,,Phishing,Education,78.99,542754.0,Insider,Zero-day,VPN,42.0
Australia,2020.0,Phishing,Education,85.79,905386.0,Hacker Group,Zero-day,Firewall,17.0
UK,2021.0,Phishing,Banking,88.38,281387.0,Hacker Group,Social Engineering,Firewall,55.0
France,2015.0,Malware,Banking,30.15,205850.0,Insider,Unpatched Software,Firewall,72.0
Germany,2024.0,Malware,Telecommunications,70.44,998028.0,Hacker Group,Unpatched Software,Encryption,59.0
China,2015.0,Malware,IT,20.63,780527.0,Hacker Group,Zero-day,Antivirus,68.0
USA,2020.0,Ransomware,Telecommunications,56.37,667436.0,Insider,Social Engineering,AI-based Detection,11.0
Japan,2022.0,Ransomware,Retail,71.26,440529.0,Insider,Weak Passwords,Encryption,20.0
China,2023.0,Man-in-the-Middle,Banking,3.47,194670.0,Nation-state,Social Engineering,Firewall,29.0
USA,2023.0,DDoS,Banking,53.59,750875.0,Nation-state,Weak Passwords,Encryption,30.0
China,2020.0,Phishing,Retail,,970373.0,Unknown,Social Engineering,AI-based Detection,58.0
France,2024.0,Phishing,Retail,44.98,827399.0,Nation-state,Weak Passwords,AI-based Detection,25.0
UK,2018.0,Man-in-the-Middle,Education,81.01,416149.0,Insider,Unpatched Software,Antivirus,56.0
Germany,2015.0,,IT,51.11,506625.0,Insider,Weak Passwords,VPN,41.0
USA,2018.0,Phishing,Government,38.83,333027.0,Hacker Group,Zero-day,VPN,19.0
USA,2021.0,SQL Injection,Telecommunications,89.93,982269.0,Insider,Unpatched Software,Antivirus,51.0
Brazil,2024.0,Malware,Government,78.97,724903.0,Unknown,Weak Passwords,Encryption,53.0
Russia,2024.0,DDoS,Education,26.82,156823.0,Hacker Group,Social Engineering,VPN,1.0
China,2017.0,DDoS,Education,56.73,244753.0,Insider,Zero-day,VPN,45.0
Russia,2022.0,Malware,Retail,71.15,258554.0,Unknown,Social Engineering,AI-based Detection,72.0
Australia,2020.0,Ransomware,Telecommunications,97.9,139407.0,Insider,Unpatched Software,Antivirus,41.0
France,2023.0,Phishing,,5.8,206203.0,Hacker Group,Social Engineering,Encryption,7.0
UK,2016.0,SQL Injection,Government,69.55,55635.0,Unknown,Weak Passwords,Encryption,13.0
Germany,2021.0,Ransomware,Education,11.42,55683.0,Hacker Group,Unpatched Software,AI-based Detection,19.0
India,2023.0,Phishing,Banking,87.62,210006.0,Nation-state,Social Engineering,VPN,27.0
Russia,2015.0,Man-in-the-Middle,,98.58,816455.0,Unknown,Unpatched Software,AI-based Detection,40.0
UK,2020.0,SQL Injection,IT,87.48,53147.0,Nation-state,Social Engineering,Antivirus,9.0
UK,2018.0,SQL Injection,Telecommunications,80.96,583514.0,Hacker Group,Zero-day,VPN,54.0
,2022.0,Ransomware,Government,85.43,688150.0,Unknown,Weak Passwords,Firewall,58.0
Japan,2023.0,Phishing,Government,3.54,809443.0,Insider,,,59.0
Japan,2024.0,Malware,Government,34.03,78149.0,Nation-state,Weak Passwords,Encryption,30.0
Australia,,DDoS,Banking,64.29,113775.0,Insider,Weak Passwords,AI-based Detection,14.0
India,2021.0,Ransomware,Banking,54.97,798498.0,Nation-state,Zero-day,,54.0
Brazil,2016.0,Phishing,Education,97.45,267789.0,Insider,Weak Passwords,Encryption,26.0
UK,2023.0,SQL Injection,Telecommunications,30.19,833840.0,Insider,Unpatched Software,Antivirus,6.0
USA,2018.0,DDoS,Banking,6.61,646433.0,Insider,Social Engineering,Firewall,37.0
Brazil,2017.0,Man-in-the-Middle,Government,68.03,403770.0,Hacker Group,Weak Passwords,Encryption,22.0
Germany,2018.0,SQL Injection,,75.63,814701.0,Hacker Group,Social Engineering,Antivirus,
China,2019.0,Ransomware,IT,72.29,666683.0,Hacker Group,Zero-day,Encryption,34.0
Germany,2016.0,DDoS,Banking,44.17,236438.0,Hacker Group,Weak Passwords,Antivirus,24.0
Russia,2020.0,DDoS,Education,60.94,798113.0,Insider,Social Engineering,Antivirus,23.0
Germany,2021.0,Malware,Healthcare,23.34,518982.0,Hacker Group,Weak Passwords,VPN,20.0
Germany,2015.0,DDoS,IT,76.99,252225.0,Unknown,Unpatched Software,Antivirus,67.0
USA,2017.0,SQL Injection,Government,60.66,5346.0,Unknown,Zero-day,Antivirus,69.0
China,2017.0,DDoS,Retail,19.36,4814.0,Unknown,Social Engineering,AI-based Detection,42.0
Brazil,2021.0,SQL Injection,Banking,50.61,772512.0,Hacker Group,Weak Passwords,Encryption,42.0
Australia,2023.0,Phishing,,81.81,16360.0,Nation-state,Unpatched Software,AI-based Detection,37.0
India,2024.0,Phishing,Telecommunications,38.68,,Nation-state,Social Engineering,Antivirus,60.0
Russia,2023.0,,IT,52.35,743325.0,Insider,Weak Passwords,VPN,9.0
France,2019.0,,Education,81.47,597542.0,Unknown,Weak Passwords,VPN,11.0
Russia,2024.0,Malware,Education,55.15,913591.0,Hacker Group,Zero-day,AI-based Detection,51.0
Japan,2023.0,SQL Injection,IT,8.24,183702.0,Nation-state,Zero-day,VPN,57.0
China,2024.0,Ransomware,Healthcare,42.26,685837.0,Insider,Social Engineering,VPN,68.0
India,2015.0,Phishing,Healthcare,28.6,690500.0,Hacker Group,Weak Passwords,Encryption,11.0
India,2016.0,SQL Injection,Banking,4.31,520308.0,Insider,Zero-day,VPN,39.0
India,2020.0,Phishing,Education,,84643.0,Nation-state,Unpatched Software,Antivirus,53.0
France,2023.0,Malware,Healthcare,85.28,762282.0,Hacker Group,Social Engineering,Firewall,
France,,Malware,Education,70.46,427144.0,Unknown,Social Engineering,Firewall,42.0
Russia,2018.0,Man-in-the-Middle,Banking,86.87,800683.0,Nation-state,Unpatched Software,Firewall,57.0
Japan,2024.0,Man-in-the-Middle,Education,46.39,662101.0,Insider,Social Engineering,VPN,7.0
Australia,2016.0,Malware,IT,30.72,977343.0,Hacker Group,Weak Passwords,VPN,47.0
India,2021.0,Ransomware,Education,86.73,534013.0,Unknown,Unpatched Software,Firewall,49.0
China,2024.0,SQL Injection,Education,18.45,947933.0,Insider,Social Engineering,Antivirus,10.0
Australia,2017.0,Malware,Retail,,692167.0,Unknown,Weak Passwords,Encryption,
Japan,2023.0,Malware,IT,23.16,320277.0,Unknown,Weak Passwords,Encryption,69.0
Japan,,Ransomware,Retail,,163062.0,Unknown,Unpatched Software,AI-based Detection,43.0
Australia,2017.0,Malware,Banking,25.76,801821.0,Unknown,,AI-based Detection,18.0
China,2016.0,Ransomware,Government,72.25,860664.0,Unknown,Zero-day,Firewall,10.0
Japan,2018.0,Man-in-the-Middle,Education,20.85,511823.0,Insider,Zero-day,AI-based Detection,43.0
Germany,2024.0,Man-in-the-Middle,IT,93.13,952299.0,Unknown,Weak Passwords,VPN,33.0
India,2018.0,Phishing,Education,5.27,982450.0,Unknown,Weak Passwords,Firewall,32.0
Australia,2024.0,DDoS,Retail,28.16,411083.0,Unknown,Weak Passwords,Firewall,30.0
USA,2019.0,Man-in-the-Middle,Government,17.59,43140.0,Insider,Social Engineering,AI-based Detection,28.0
,2018.0,Malware,Education,51.59,935465.0,Nation-state,Weak Passwords,AI-based Detection,28.0
Germany,2018.0,DDoS,Banking,81.34,52799.0,Insider,Zero-day,AI-based Detection,38.0
China,2020.0,SQL Injection,Telecommunications,70.02,688312.0,Nation-state,Unpatched Software,VPN,48.0
France,2024.0,Phishing,Government,,219162.0,Hacker Group,Unpatched Software,Encryption,23.0
UK,2017.0,Man-in-the-Middle,Telecommunications,60.01,740448.0,Hacker Group,Weak Passwords,Encryption,26.0
France,2016.0,Ransomware,Banking,62.73,596776.0,Nation-state,Zero-day,Firewall,17.0
Australia,2022.0,SQL Injection,Telecommunications,56.2,571454.0,Insider,Weak Passwords,VPN,42.0
Russia,2020.0,DDoS,Government,72.59,787260.0,Insider,Weak Passwords,Firewall,
UK,2018.0,Malware,Healthcare,19.79,805745.0,Insider,Weak Passwords,Firewall,7.0
,2020.0,SQL Injection,Telecommunications,35.02,377194.0,Unknown,Weak Passwords,Firewall,50.0
China,2023.0,,Education,37.07,417554.0,Insider,Unpatched Software,Antivirus,35.0
China,2019.0,SQL Injection,Government,65.85,252025.0,Hacker Group,Zero-day,Encryption,60.0
India,2015.0,Ransomware,Education,96.03,898251.0,Hacker Group,Weak Passwords,Antivirus,70.0
Brazil,2015.0,Man-in-the-Middle,Banking,74.27,551388.0,Unknown,Unpatched Software,Encryption,51.0
India,2017.0,DDoS,Banking,45.98,538245.0,Hacker Group,Weak Passwords,AI-based Detection,18.0
India,2021.0,Malware,Telecommunications,50.97,838461.0,Nation-state,Zero-day,AI-based Detection,6.0
Brazil,2020.0,SQL Injection,Banking,68.05,912770.0,Unknown,Zero-day,AI-based Detection,67.0
India,2021.0,DDoS,Education,,62194.0,Nation-state,Zero-day,AI-based Detection,12.0
UK,2023.0,Man-in-the-Middle,Banking,15.01,416522.0,Insider,Social Engineering,VPN,63.0
UK,2021.0,DDoS,IT,70.49,530341.0,Insider,Social Engineering,,40.0
Japan,2022.0,Ransomware,IT,73.1,346939.0,Insider,Weak Passwords,VPN,21.0
Russia,2021.0,Phishing,Banking,78.45,56333.0,Unknown,Social Engineering,VPN,8.0
Germany,2018.0,Ransomware,IT,27.51,644913.0,Unknown,Weak Passwords,VPN,32.0
Japan,2017.0,SQL Injection,Banking,18.01,295917.0,Unknown,Weak Passwords,VPN,57.0
India,2020.0,Malware,Healthcare,20.62,54206.0,Insider,Unpatched Software,VPN,51.0
India,2018.0,DDoS,Telecommunications,47.5,423071.0,Unknown,Unpatched Software,Antivirus,69.0
Australia,2021.0,Man-in-the-Middle,Healthcare,17.62,687020.0,Unknown,Weak Passwords,Antivirus,48.0
USA,2020.0,Ransomware,Education,77.09,550317.0,Insider,Weak Passwords,Encryption,63.0
Germany,2021.0,Phishing,,48.0,170032.0,Nation-state,Social Engineering,Encryption,24.0
China,2020.0,SQL Injection,Healthcare,11.55,388591.0,Unknown,Zero-day,Antivirus,68.0
India,2023.0,DDoS,Healthcare,2.27,438318.0,,Unpatched Software,AI-based Detection,39.0
India,2018.0,DDoS,Education,1.71,63389.0,,Unpatched Software,VPN,20.0
USA,2015.0,Man-in-the-Middle,Retail,95.66,377602.0,Nation-state,Zero-day,Firewall,15.0
France,2021.0,SQL Injection,Government,42.75,467551.0,Unknown,Unpatched Software,Encryption,
UK,2022.0,Malware,Telecommunications,38.76,361529.0,Nation-state,Social Engineering,Firewall,67.0
Australia,2019.0,Man-in-the-Middle,Retail,,677755.0,Hacker Group,Social Engineering,Firewall,52.0
UK,2022.0,Man-in-the-Middle,IT,66.25,303838.0,Nation-state,Zero-day,AI-based Detection,56.0
,2016.0,Ransomware,Banking,93.74,339815.0,Insider,Weak Passwords,Firewall,58.0
Russia,2020.0,Ransomware,Banking,,820140.0,Insider,Social Engineering,VPN,63.0
Russia,2015.0,Ransomware,IT,49.3,879875.0,Insider,Zero-day,Encryption,61.0
Brazil,2022.0,Man-in-the-Middle,Healthcare,40.94,987320.0,Unknown,Zero-day,AI-based Detection,44.0
Japan,2023.0,SQL Injection,Government,13.51,772948.0,Unknown,Zero-day,VPN,43.0
Brazil,2015.0,Phishing,Healthcare,84.83,794914.0,Insider,Social Engineering,Firewall,34.0
Brazil,2019.0,DDoS,Telecommunications,36.98,198563.0,Hacker Group,Social Engineering,Firewall,24.0
Germany,2022.0,DDoS,Retail,21.45,32346.0,Nation-state,Unpatched Software,AI-based Detection,38.0
China,2015.0,Phishing,Banking,18.39,541829.0,Nation-state,Zero-day,Antivirus,33.0
Russia,2024.0,Phishing,Telecommunications,21.22,446028.0,Hacker Group,Weak Passwords,,37.0
France,2022.0,Malware,Education,13.06,759625.0,Insider,Social Engineering,Encryption,14.0
Brazil,2017.0,Phishing,Retail,3.18,520654.0,Nation-state,Social Engineering,VPN,53.0
USA,2023.0,DDoS,IT,99.64,248383.0,Insider,Social Engineering,Firewall,55.0
China,2017.0,Man-in-the-Middle,Banking,62.39,855974.0,Unknown,Social Engineering,VPN,44.0
China,2020.0,Malware,Government,84.23,50842.0,Insider,Zero-day,AI-based Detection,
Germany,2015.0,Man-in-the-Middle,Education,81.5,697275.0,Nation-state,Weak Passwords,Encryption,59.0
Germany,2022.0,Man-in-the-Middle,Telecommunications,0.54,419912.0,Nation-state,Zero-day,AI-based Detection,40.0
Japan,2023.0,Man-in-the-Middle,Banking,65.8,193620.0,Nation-state,Zero-day,VPN,67.0
China,2024.0,SQL Injection,Banking,58.32,777684.0,Unknown,,VPN,31.0
,2018.0,Malware,Healthcare,27.61,375245.0,Hacker Group,Social Engineering,Firewall,20.0
China,2023.0,Man-in-the-Middle,IT,22.96,656090.0,Insider,Unpatched Software,Encryption,27.0
Australia,2016.0,Man-in-the-Middle,IT,80.27,653967.0,Unknown,Unpatched Software,Encryption,21.0
India,2022.0,SQL Injection,Education,0.83,977791.0,Unknown,Weak Passwords,Antivirus,15.0
UK,2023.0,DDoS,Telecommunications,81.91,397687.0,Hacker Group,Social Engineering,VPN,65.0
France,2017.0,Malware,Banking,40.87,719537.0,Nation-state,Zero-day,AI-based Detection,23.0
Brazil,2017.0,DDoS,Telecommunications,34.79,724790.0,,Unpatched Software,Firewall,64.0
France,2016.0,Phishing,IT,33.33,51723.0,,Weak Passwords,Encryption,23.0
India,2023.0,Ransomware,Healthcare,18.26,312340.0,Nation-state,Zero-day,VPN,35.0
India,2016.0,Man-in-the-Middle,Banking,15.28,995025.0,Unknown,Weak Passwords,AI-based Detection,52.0
France,2024.0,SQL Injection,Telecommunications,48.77,336356.0,Hacker Group,Unpatched Software,Encryption,2.0
France,2017.0,Ransomware,Retail,,886212.0,Unknown,Weak Passwords,Encryption,67.0
Japan,,Ransomware,Healthcare,37.23,209358.0,Nation-state,Social Engineering,Firewall,25.0
Russia,2022.0,DDoS,Education,69.24,495616.0,,Unpatched Software,Antivirus,38.0
China,2021.0,SQL Injection,Government,55.55,224311.0,Insider,Zero-day,Firewall,57.0
Japan,2022.0,DDoS,IT,51.95,65516.0,Insider,Weak Passwords,Firewall,37.0
Germany,2024.0,Ransomware,Government,40.36,301972.0,Unknown,Weak Passwords,VPN,33.0
,2015.0,Phishing,Telecommunications,47.04,124250.0,Insider,Zero-day,AI-based Detection,64.0
USA,2018.0,Man-in-the-Middle,Healthcare,22.61,733934.0,Nation-state,Zero-day,Firewall,31.0
Brazil,2022.0,Malware,IT,19.26,377446.0,Unknown,Zero-day,AI-based Detection,12.0
China,2021.0,SQL Injection,IT,,430792.0,Insider,Weak Passwords,Antivirus,9.0
UK,2015.0,Malware,IT,96.79,825881.0,Unknown,Zero-day,AI-based Detection,35.0
USA,2020.0,Malware,Telecommunications,27.16,858207.0,Nation-state,Unpatched Software,AI-based Detection,42.0
Germany,2021.0,Ransomware,Healthcare,16.64,912847.0,Unknown,Weak Passwords,Antivirus,27.0
UK,2018.0,Malware,Banking,41.34,82287.0,Unknown,Unpatched Software,Encryption,61.0
USA,2020.0,Man-in-the-Middle,Education,44.85,527938.0,Nation-state,Zero-day,Encryption,1.0
UK,2022.0,DDoS,Telecommunications,,645154.0,,,AI-based Detection,16.0
India,2018.0,,Retail,26.01,732636.0,Hacker Group,Zero-day,VPN,3.0
Russia,2015.0,DDoS,Retail,69.61,26321.0,Nation-state,Zero-day,,11.0
,2023.0,Ransomware,Banking,52.88,982507.0,,Unpatched Software,Encryption,39.0
Russia,2019.0,,Retail,11.57,367712.0,Nation-state,Weak Passwords,Firewall,13.0
Russia,2015.0,DDoS,Telecommunications,83.28,236346.0,Insider,Unpatched Software,AI-based Detection,55.0
Australia,2018.0,SQL Injection,Retail,51.46,287089.0,Nation-state,Weak Passwords,Encryption,8.0
,2024.0,Malware,Healthcare,50.71,964191.0,Unknown,Weak Passwords,VPN,36.0
China,2016.0,SQL Injection,Healthcare,52.68,55913.0,Nation-state,Social Engineering,Antivirus,70.0
Japan,2015.0,Phishing,Government,98.29,850600.0,Insider,Zero-day,Encryption,17.0
France,2024.0,Phishing,Retail,45.57,201137.0,Hacker Group,,Antivirus,25.0
Germany,2017.0,Malware,Healthcare,1.68,859708.0,Nation-state,Weak Passwords,Encryption,10.0
Russia,2016.0,Phishing,Government,2.74,863777.0,Insider,Zero-day,Antivirus,20.0
Japan,2024.0,SQL Injection,Banking,67.37,521384.0,Unknown,Social Engineering,Antivirus,32.0
Russia,2022.0,SQL Injection,Government,69.09,474183.0,Insider,Weak Passwords,Antivirus,27.0
Brazil,2018.0,SQL Injection,Retail,36.63,829742.0,Insider,Unpatched Software,Firewall,57.0
USA,2021.0,DDoS,Telecommunications,99.81,460842.0,Unknown,Weak Passwords,AI-based Detection,59.0
Australia,2022.0,Malware,Retail,47.33,839881.0,Unknown,Zero-day,Firewall,51.0
Brazil,2017.0,DDoS,IT,72.48,860625.0,Unknown,Zero-day,Firewall,4.0
UK,2019.0,SQL Injection,Healthcare,65.47,263110.0,Insider,Social Engineering,Firewall,6.0
Japan,2020.0,Man-in-the-Middle,IT,13.61,506364.0,Nation-state,Social Engineering,Firewall,66.0
USA,2021.0,Phishing,Education,6.01,176772.0,Insider,Unpatched Software,Firewall,6.0
Brazil,2021.0,SQL Injection,Retail,1.32,564277.0,Nation-state,Weak Passwords,Firewall,1.0
Australia,2017.0,Man-in-the-Middle,Retail,47.97,36780.0,Insider,Unpatched Software,AI-based Detection,64.0
Germany,2021.0,Ransomware,Retail,46.82,589744.0,Nation-state,Weak Passwords,VPN,32.0
Russia,2018.0,Malware,Government,59.01,309230.0,Hacker Group,Social Engineering,Encryption,61.0
China,2024.0,Man-in-the-Middle,Telecommunications,53.59,4913.0,Hacker Group,Weak Passwords,AI-based Detection,61.0
Brazil,2020.0,SQL Injection,Education,50.41,350295.0,Insider,Unpatched Software,Encryption,5.0
USA,2020.0,DDoS,Banking,60.2,998937.0,Nation-state,Zero-day,Antivirus,19.0
Brazil,2018.0,Malware,Telecommunications,96.22,445546.0,Nation-state,Weak Passwords,Firewall,45.0
Brazil,2023.0,SQL Injection,Healthcare,7.33,486146.0,,,Firewall,12.0
UK,2016.0,Phishing,Education,29.49,466333.0,Hacker Group,Zero-day,Firewall,51.0
Japan,2019.0,Phishing,Government,73.35,706019.0,Nation-state,Zero-day,Encryption,65.0
UK,2020.0,DDoS,Retail,70.03,971464.0,Nation-state,Weak Passwords,Firewall,4.0
India,2015.0,Man-in-the-Middle,IT,76.97,224983.0,Nation-state,Weak Passwords,AI-based Detection,42.0
Brazil,2019.0,Ransomware,,87.41,919425.0,Nation-state,Unpatched Software,Encryption,45.0
Russia,2023.0,DDoS,Telecommunications,57.25,115138.0,Unknown,Unpatched Software,Encryption,42.0
Japan,2020.0,Phishing,IT,99.57,786468.0,Nation-state,Social Engineering,AI-based Detection,42.0
India,2023.0,Phishing,Retail,5.11,620560.0,Hacker Group,Weak Passwords,Antivirus,59.0
USA,2017.0,Malware,Government,56.74,976007.0,Insider,Social Engineering,Encryption,59.0
France,2016.0,DDoS,Education,46.58,361163.0,Hacker Group,Zero-day,Firewall,38.0
Brazil,2017.0,Ransomware,Healthcare,54.78,469735.0,Nation-state,Zero-day,Encryption,57.0
USA,2015.0,Man-in-the-Middle,IT,46.27,117231.0,Unknown,Unpatched Software,AI-based Detection,28.0
Germany,2018.0,Ransomware,Healthcare,14.38,276925.0,Unknown,Unpatched Software,VPN,54.0
Australia,2019.0,Malware,Telecommunications,37.3,208089.0,Unknown,,Antivirus,33.0
Australia,2016.0,Phishing,Telecommunications,63.81,71720.0,Hacker Group,Zero-day,Encryption,21.0
Russia,,Ransomware,Telecommunications,35.62,236676.0,Nation-state,Social Engineering,AI-based Detection,67.0
India,2024.0,Man-in-the-Middle,Telecommunications,93.46,409281.0,,Weak Passwords,Antivirus,18.0
Japan,2023.0,Phishing,Banking,82.36,,Insider,Zero-day,Antivirus,12.0
Russia,2018.0,,Telecommunications,11.32,153618.0,Nation-state,Weak Passwords,VPN,29.0
India,2023.0,Ransomware,Banking,57.15,704230.0,Nation-state,Zero-day,VPN,71.0
China,2019.0,Malware,Retail,79.37,863510.0,Hacker Group,Weak Passwords,VPN,2.0
India,2024.0,DDoS,Healthcare,4.08,488599.0,Unknown,Social Engineering,Encryption,11.0
France,2022.0,Ransomware,Healthcare,80.73,964782.0,Unknown,Weak Passwords,VPN,47.0
Germany,2018.0,Man-in-the-Middle,IT,48.96,323027.0,Unknown,Unpatched Software,Encryption,49.0
China,2023.0,Man-in-the-Middle,Education,10.55,12970.0,Unknown,Social Engineering,,32.0
India,2020.0,Man-in-the-Middle,Government,50.19,659835.0,Unknown,Zero-day,Encryption,46.0
China,2023.0,SQL Injection,Telecommunications,66.92,,Hacker Group,Social Engineering,VPN,51.0
China,2017.0,Man-in-the-Middle,Banking,47.52,83617.0,Insider,Unpatched Software,AI-based Detection,64.0
Brazil,2018.0,Malware,Banking,87.13,99178.0,Nation-state,Unpatched Software,Antivirus,27.0
Brazil,2024.0,Ransomware,Education,80.1,489369.0,Nation-state,Unpatched Software,Encryption,41.0
Russia,2017.0,Phishing,Telecommunications,2.22,620350.0,Hacker Group,Zero-day,Firewall,45.0
USA,2020.0,DDoS,Healthcare,38.14,846602.0,Insider,Weak Passwords,Firewall,31.0
India,2017.0,Malware,Government,61.02,650042.0,Nation-state,Unpatched Software,Antivirus,48.0
Japan,2019.0,Man-in-the-Middle,Government,61.01,549197.0,Hacker Group,Social Engineering,Antivirus,59.0
France,2023.0,Phishing,IT,15.49,138639.0,Hacker Group,Unpatched Software,VPN,14.0
Australia,2024.0,Man-in-the-Middle,Healthcare,93.4,833819.0,Insider,Unpatched Software,Antivirus,14.0
India,2022.0,Malware,Retail,13.88,813217.0,Insider,Zero-day,AI-based Detection,71.0
UK,2017.0,Malware,Banking,11.25,636273.0,Insider,Zero-day,Antivirus,30.0
Russia,2017.0,Man-in-the-Middle,Banking,66.53,45277.0,Insider,Social Engineering,Firewall,43.0
Australia,2015.0,Phishing,Telecommunications,89.41,488342.0,Hacker Group,Unpatched Software,Firewall,23.0
France,2019.0,Phishing,IT,55.31,526220.0,Nation-state,Social Engineering,AI-based Detection,2.0
USA,2023.0,DDoS,Education,90.38,311596.0,Insider,Weak Passwords,VPN,23.0
Brazil,2024.0,DDoS,Retail,25.17,658226.0,Insider,Weak Passwords,VPN,52.0
India,2019.0,Phishing,Education,6.29,344693.0,Hacker Group,,Encryption,19.0
France,2016.0,Phishing,,37.57,380995.0,Unknown,Weak Passwords,VPN,60.0
Brazil,2018.0,Malware,Banking,3.1,458185.0,Insider,Social Engineering,AI-based Detection,31.0
